,measurement_date,nine_axis_acceleration_x,nine_axis_acceleration_y,nine_axis_acceleration_z,nine_axis_angular_velocity_x,nine_axis_angular_velocity_y,nine_axis_angular_velocity_z
75,2021-02-16 17:43:29.776000+00:00,-0.0060898536,0.02742507,-0.9975181,0.0014238353,-5.852263E-5,-0.0017543257
76,2021-02-16 17:43:29.875000+00:00,-0.0055058734,0.02531468,-0.99947363,-0.001558261,-3.5584383E-4,-0.0021750203
77,2021-02-16 17:43:29.967000+00:00,-0.0061433204,0.027404638,-0.9971253,0.0016177902,-1.2990869E-4,-0.002067704
78,2021-02-16 17:43:30.077000+00:00,-0.0060855397,0.025156615,-0.9991468,-0.0013980846,-9.7429886E-4,-0.0025562537
79,2021-02-16 17:43:30.175000+00:00,-0.0070222015,0.026625944,-0.9975821,0.001559492,-1.0980044E-4,-0.0018865713
80,2021-02-16 17:43:30.268000+00:00,-0.005960604,0.025917888,-0.9997748,-0.0014769465,-4.4044154E-4,-0.0019643449
81,2021-02-16 17:43:30.376000+00:00,-0.005826627,0.02770184,-0.9975645,0.0011460405,-3.0496216E-5,-0.0019592226
82,2021-02-16 17:43:30.475000+00:00,-0.0061106957,0.02522437,-0.99940515,-0.0014482982,-8.482841E-4,-0.0023184284
83,2021-02-16 17:43:30.576000+00:00,-0.006804455,0.027412634,-0.9969823,0.0012767584,5.0817107E-7,-0.0020840059
84,2021-02-16 17:43:30.677000+00:00,-0.006111321,0.025017506,-0.9993195,-0.0015481221,-8.1159826E-4,-0.0021372153
85,2021-02-16 17:43:30.775000+00:00,-0.0064378977,0.027768595,-0.9974502,0.001452386,-4.1514565E-4,-0.001903402
86,2021-02-16 17:43:30.876000+00:00,-0.0062408117,0.025555091,-0.9993488,-0.0013621172,-2.457272E-4,-0.0028543654
87,2021-02-16 17:43:30.975000+00:00,-0.0069240998,0.026788047,-0.9967727,0.0015168276,-1.0849275E-5,-0.0022363958
88,2021-02-16 17:43:31.076000+00:00,-0.0063095815,0.025225649,-0.99976486,-0.0014909895,-3.4519276E-4,-0.0022391966
89,2021-02-16 17:43:31.176000+00:00,-0.006421849,0.027941046,-0.9972423,0.0013691288,-2.879701E-4,-0.0017202246
90,2021-02-16 17:43:31.276000+00:00,-0.0058671176,0.02535081,-0.9995499,-0.0011026642,-5.724528E-4,-0.0022390697
91,2021-02-16 17:43:31.377000+00:00,-0.007264351,0.02774061,-0.9967368,0.0014571659,2.4024994E-6,-0.0018053192
92,2021-02-16 17:43:31.476000+00:00,-0.0060301214,0.0245319,-0.9992872,-0.0012912544,-7.704483E-4,-0.0022633304
93,2021-02-16 17:43:31.576000+00:00,-0.0062381187,0.02809842,-0.9970983,0.0013358602,1.0487235E-5,-0.00218135
94,2021-02-16 17:43:31.678000+00:00,-0.005923636,0.024672864,-0.9990555,-9.769943E-4,-4.090317E-4,-0.0024646327
95,2021-02-16 17:43:31.777000+00:00,-0.007083653,0.027729388,-0.996806,0.0018243274,-4.616435E-4,-0.0020154405
96,2021-02-16 17:43:31.876000+00:00,-0.0063160043,0.02546923,-0.99912083,-0.001646536,-5.182978E-4,-0.0019785648
97,2021-02-16 17:43:31.977000+00:00,-0.005850532,0.027464963,-0.99737287,0.0012525978,-4.887838E-5,-0.0020382255
98,2021-02-16 17:43:32.067000+00:00,-0.0053107794,0.024735283,-0.9999001,-0.0014186176,-9.241952E-4,-0.0023266436
99,2021-02-16 17:43:32.177000+00:00,-0.0065626237,0.027573789,-0.99670935,0.0013697819,-4.0580798E-4,-0.0020807576
100,2021-02-16 17:43:32.277000+00:00,-0.0062786075,0.024399946,-0.99937934,-0.0016563613,-5.545855E-4,-0.0027649316
101,2021-02-16 17:43:32.376000+00:00,-0.006236774,0.027667638,-0.9974853,0.0012069868,-5.0199416E-4,-0.0022667053
102,2021-02-16 17:43:32.476000+00:00,-0.0060125818,0.024968732,-0.9996503,-0.0014998091,-7.8525866E-4,-0.0027572021
103,2021-02-16 17:43:32.576000+00:00,-0.0066631753,0.027111983,-0.9973419,0.0013274384,-8.004578E-5,-0.001626387
104,2021-02-16 17:43:32.677000+00:00,-0.0066498434,0.024855146,-0.9995868,-0.0017006042,-6.236769E-4,-0.0022246027
